

Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
Step 4541/953240 - LR:0.0003 - train_loss: 1.930
Step 4551/953240 - LR:0.0030 - train_loss: 1.927
Step 4561/953240 - LR:0.0003 - train_loss: 1.911
Step 4571/953240 - LR:0.0030 - train_loss: 1.943
Step 4581/953240 - LR:0.0003 - train_loss: 1.922
Step 4591/953240 - LR:0.0030 - train_loss: 1.963
Step 4601/953240 - LR:0.0003 - train_loss: 1.955
Step 4611/953240 - LR:0.0030 - train_loss: 1.934
Step 4621/953240 - LR:0.0003 - train_loss: 1.916
Step 4631/953240 - LR:0.0030 - train_loss: 1.932
Step 4641/953240 - LR:0.0003 - train_loss: 1.937
Step 4651/953240 - LR:0.0030 - train_loss: 1.918
Step 4661/953240 - LR:0.0003 - train_loss: 1.912
Step 4671/953240 - LR:0.0030 - train_loss: 1.938
Step 4681/953240 - LR:0.0003 - train_loss: 1.934
Step 4691/953240 - LR:0.0030 - train_loss: 1.921
Step 4701/953240 - LR:0.0003 - train_loss: 1.968
Step 4711/953240 - LR:0.0030 - train_loss: 1.931
Step 4721/953240 - LR:0.0003 - train_loss: 1.972
Step 4731/953240 - LR:0.0030 - train_loss: 1.919
Step 4741/953240 - LR:0.0003 - train_loss: 1.928
Step 4751/953240 - LR:0.0030 - train_loss: 1.928
Step 4761/953240 - LR:0.0003 - train_loss: 1.962
Step 4771/953240 - LR:0.0030 - train_loss: 1.950
Step 4781/953240 - LR:0.0003 - train_loss: 2.004
Step 4791/953240 - LR:0.0030 - train_loss: 1.984
Step 4801/953240 - LR:0.0003 - train_loss: 1.918
Step 4811/953240 - LR:0.0030 - train_loss: 1.937
Step 4821/953240 - LR:0.0003 - train_loss: 1.954
Step 4831/953240 - LR:0.0030 - train_loss: 1.940
Step 4841/953240 - LR:0.0003 - train_loss: 1.948
Step 4851/953240 - LR:0.0030 - train_loss: 1.962
Step 4861/953240 - LR:0.0003 - train_loss: 1.926
Step 4871/953240 - LR:0.0030 - train_loss: 1.960
Step 4881/953240 - LR:0.0003 - train_loss: 1.944
Step 4891/953240 - LR:0.0030 - train_loss: 1.953
Step 4901/953240 - LR:0.0003 - train_loss: 1.894
Step 4911/953240 - LR:0.0030 - train_loss: 1.938
Step 4921/953240 - LR:0.0003 - train_loss: 1.937
Step 4931/953240 - LR:0.0030 - train_loss: 1.932
Step 4941/953240 - LR:0.0003 - train_loss: 1.947
Step 4951/953240 - LR:0.0030 - train_loss: 1.940
Step 4961/953240 - LR:0.0003 - train_loss: 1.934
Step 4971/953240 - LR:0.0030 - train_loss: 1.969
Step 4981/953240 - LR:0.0003 - train_loss: 1.936
Step 4991/953240 - LR:0.0030 - train_loss: 1.918
Step 5001/953240 - LR:0.0003 - train_loss: 1.943


exit train!

Once upon a time, Tom is very hungry, but he doesn't like the people. The moral of the story is that, it is not a good way. It with patience and care, the two of lifes and protecting all the places. < there were two friends, Ben and Joe, who werenled. They were walking around the world and the feelings as the rabbits was having so much time. Suddenly, one of the rabbits stopped and looked at their eyes. Its its eyes were wide and the other was so wide that it started to shake. Tom and Joe were so surprised that they ran away. They both ran back to their homes and hugged each other. The moral of the story is that it's important to be kind to others and to always stay away from them. 



I like apple, but Lily loves. I'm just me and you're getting in, it is not to be too late." Lily smiled, feeling her tears and hugged her. She was so excited that she hugged and thanked her for the surprise. The moral of the story is that it is much more than ever and it'sning. 



Once upon a time, there is a boy named lucius. He had been and he had been on his en, he had been with the cold and was very sad. The next day, the boy was exhausted. He had been on his trip to the bathroom and had to go to the bathroom. He had to stay in his room, not in his own arms and could not move. The moral of the story is that it is much more important than to be so clumsy. It is better to be free than to be in trouble. 



Once upon a time, there is a girl named xwx. One day, she was very scared and started to scare. Suddenly, the shaking began to g and en away, and the two of a white bring. Theirling was ding and seemed very funny. Suddenly, the weather started to rain. Everyone in the park was too wet and the ground was cold. "Oh no!" said Fire. Theirling was gone and the two of them disappeared. The friends was so sad that their marriage ended! 



I love the monkey, but my little friend isning by. He has been, just meging, and the other boy is gusing. Noh, come and ene-ee, and their-ee, and the two of the bluew. The moral of the story, it is not a lovely day. It isn to be the first time, but not always about how much you want. 



Once upon a time, there is a monkey named dada. He was coming up to the park with the small brags. When he arrived, he smiled and said, "We weren by our arms. We should always that." His mom and Dad looked at the little prepable and said, "We're getting in trouble. We need to be more careful when we go. We don't want to get lost again." The little  ⁇  year old, his heart beating in his heart. He smiled as he watched the little animals in the sky. He knew he would never forget the little monkey and the little girl. 



Once upon a time, the sun is dimmed. The moral of the story is to be too late, so you can be more late. 



Once upon a time, the water is dirty. "Look, I'm apo, I'm aw," said Jill. The two ofns shook, but the coldness was still and it was still his breathing. The cold was over, and the cold chusing was ally. When it lay, it started to move and the snow is still in the air. The cold feelings slowly began to open and the warm air stopped. It grew bigger and bigger until it was all around the world. Jill had lots of fun playing in the snow. She was so happy that it was time to go home. 



Once upon a time, sophia won the first prize in the competition. "Have, Is!" said Steve. He was so excited that he couldn't believe the little birds. The next day, the bear came to the garden and handed the reay to the little birds. "In how it goes up," he said. The two of Stevens, the little chie-tirll and then said, "It is my pleasure," The chievity stayed pound, laughing and clapping. 



Once upon a time, there was a little girl named Lucy. She had a pet cat named Tom. "Oh, what are you doing?" asked Lucy. "I'm having a lot and protecting," replied George. The moral of the story is a bit of the world, and the family had been to Lucy's trip. 



Once upon a time, there was a little brown dog named Spot. Max was so excited that he started into the family'sry. The two friends watched as Max and Bear had been in the blue car. They had been too late, and the two of the reelling. Max had been in his first time, and the two of them had been too late. 



Once upon a time, there was a little boy named Tom. Tom quickly and the two friends quickly ass them. Eventually, the two of them continued to stay, and the two ofns. It was large and soon, and the two of adies was gone. The two friends had been alltle and had been the next day. 



Once upon a time, there was a big whale. The two horses was so much to the family that the family had to be in. The family was so scared and started to panic. The cheerful couple had been and the family was too late. The family had to go to their destination, and they had to go home. The family was very sad and scared. 



Once upon a time, there was a bunny!. <, the little bear was very upset. He didn't understand why, and he decided to do something. He put the bear back and went to the living room to help the little animals. The moral of the story is that, when you open, always and to be kind. Even, the little bear can be jealous of what you have. 



Once upon a time, and his voice was too. <, Tom and his parents were alltys in the forest. They had been in their h and were very quiet. Suddenly, the exreen appeared in the middle of the woods. His parents watched and said, "Oh no! I got all my attention and started to preusing!" Tom's parents quickly comforted him. The experts had been so much awing voice and his parents were very relieved. Tom and his parents spent the rest of the day in the forest. It was a wonderful day and Tom was happy that he had been able to have a good time. 



Once, and his heart was badly and sreling, so he to take the birle. The moral of the story is that, leting and having fun with his prepar. Doing, the two friends were very competitive and fighting. "Ice, obel, whatever?" asked Girre. Their friend looked at them and said, "I think you can be very quiet, but I can't!" Girre smiled and said, "Oh, I know you are so shy. I am always here to take you away." The moral of this story is that it's okay to be shy, but it's important to be kind and not hurt someone. 



Tim and Lily were playing in the park. The moral of the story isused, the curious neighbor is an extra dog. 



Tom had a coin that he liked very much. The next day, they gave up that and weren over the building. The hoay thanked Bear, and just the thusiing flew away in their tr. 



Tim and Mia like to play in the backyard. The two friends, the black bear, and the angry bear, came over to them. Everyone, to the white dog, ex-used the twins in the car. They all stopped and looked away around. In the morning, the white dog was singing their faces and playing with his friends in the morning. Everyone was so happy that they had been waiting for the quarrel. Everyone in the park was so impressed and they all hugged the white dog. The two friends played with the white bear and laughed. They had so much fun that they decided they wanted to come back to the park again soon. 



Tom and Mia went to the zoo with Mom and Dad. The next day, the quiet was over and the family filled with coldsss. They had come from them and had ton him. They were so scared and wished for days. Tom and Sue were so lucky to have suchely that they had been all day. They hugged and thanked the park for being suchen and for the rest of the day. 



Anna liked to speak to her toys. <, the little bear, gling, and az. It, ar, letss and anger from their arms. The family was scared and had tore. Sam was so scared that he almost fell into the cold. He was a bit scared and started to cry. Suddenly, a voice popped in his eye. It was Sam's friend, who was in trouble. He had come to help him and he said, "Don't worry, Sam. I'm here to help you. Don't worry, I'll find you. Come with me, Sam." Sam reassured the heart and picked it up. It was a small kitten! Sam was so excited to see it. He said, "Thank you. You're very kind and generous." Sam smiled and said, "You're welcome, Sam. I'm glad you're O ⁇ . I'm glad we found it." 



Lily was playing with her doll in the garden. The moral of the story, it always is a rerey. Ifed and it is sreely, and it is ally and sreely. <, Lily was sleeping and still, feelings and fearing. She had been too late. She had lost in the morning and had to stay in her arms. 



lucius likes to talk about politics. Max and his parents weren for the bus. <, Max was still on the en and found in the dark. He had been to the gus and was very sad. He had been too late for a long time. Suddenly, the ground began to shake. "Oh no!" Max said. He had been too late and the grumble. Max's parents hugged him and said, "It's okay, Max. Let's come back and see if we can find another spot." Max was so excited to see the spot. When they got back, Max ran back to the park. He saw a bench nearby and approached it. He bent down and sat down to take a seat. He looked around and noticed a few birds perched on a bench. Max said, "Hello there, little one. What's your name?" The birds chirped and they flew away. Max was so happy and he thanked them for his help. He flew back to his home, feeling happy and content. 



sophia never eats breakfast. The next time was over, and the poor was ready quickly. The family was so surprised that and asked the racess to the cat. Everyone felt a little embarrassed, but he agreed. The family had been alone and the family was much a lot. They had been all of the family's life and the family was very calmly. The family had been had to go away and the family was no longer scared. 



Lucy tell a weird story. When the emergency was over, Jack'sreen and quickly became a cold. He was a bit of the hot, but he knew that the land was full and it had been to him. The moral of the story is that, it is important to stay with it and to always it. It, don't be too late, and it's always important to us. 



Lucy and Lily are playing computer games. "Come back, let me," said Max, feelinginging. "I want to show you something," said Lily. "In with my little little bear," replied Max. Lily smiled and thanked him for the special moment. From then on, she was always with her, and she had been in her heart. 



checkpoint saved!

Executing command >>>> 
   srun --pty -c 10 -p makkapakka --export=ALL --gpus=1  ./run.sh

